DISTRICT,COUNTY,AVG CONCEN,Field,FIELD,Formation,FORMATION,FORM_ID,FORM_AGE,ABRV,LONG_NAME,Longitude,Latitude
8,CRANE,25169,LEA,LEA,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5335866508312,31.411875327275986
8,ANDREWS,43216,TRIPLE-N,TRIPLE-N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5877048487318,32.14979171182112
8,ANDREWS,43216,TRIPLE-N,TRIPLE-N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5877048487318,32.14979171182112
8,ANDREWS,43216,TRIPLE-N,TRIPLE-N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5877048487318,32.14979171182112
8,ANDREWS,43216,TRIPLE-N,TRIPLE-N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5877048487318,32.14979171182112
8,ANDREWS,43216,TRIPLE-N,TRIPLE-N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5877048487318,32.14979171182112
8,ANDREWS,43216,TRIPLE-N,TRIPLE-N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5877048487318,32.14979171182112
8,ANDREWS,43216,TRIPLE-N,TRIPLE-N,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5877048487318,32.14979171182112
8,CROCKETT,14151,TODD,TODD,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-101.51673307029499,30.85106210972131
8,CROCKETT,14151,TODD,TODD,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-101.51673307029499,30.85106210972131
8,CROCKETT,14151,TODD,TODD,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-101.51673307029499,30.85106210972131
8,CROCKETT,14151,TODD,TODD,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-101.51673307029499,30.85106210972131
8,PECOS,11228,T.C.I.,T C I,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.6851141830938,31.2727271225625
8,CRANE,25169,LEA,LEA,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5335866508312,31.411875327275986
8,CRANE,25169,LEA,LEA,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5335866508312,31.411875327275986
8,CRANE,25169,LEA,LEA,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5335866508312,31.411875327275986
8,CRANE,25169,LEA,LEA,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5335866508312,31.411875327275986
8,CRANE,25169,LEA,LEA,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5335866508312,31.411875327275986
8,CRANE,25169,LEA,LEA,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5335866508312,31.411875327275986
8,CRANE,25169,LEA,LEA,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5335866508312,31.411875327275986
8,CRANE,25169,LEA,LEA,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5335866508312,31.411875327275986
8,CRANE,25169,LEA,LEA,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.5335866508312,31.411875327275986
8,ANDREWS,15636,MARTIN,MARTIN,SANANDRES,SAN ANDRES,453SADR,453.0,SADR,PERMIAN GUADALUPIAN,-102.7686662199435,32.16349503487827
8,CRANE,835,CORDONALAKE,CORDONA LAKE,SANANGELO,SAN ANGELO,453SAGL,453.0,SAGL,PERMIAN GUADALUPIAN,-102.5471190676169,31.31732948220131
